timestamp,rnti,cqi,pusch_snr,pucch_snr,dl_bler,ul_bler,dl_mcs1,dl_mcs2,ul_mcs1,ul_mcs2,dl_tbs,ul_tbs,dl_aggr_tbs,ul_aggr_tbs,dl_prb,ul_prb,dl_sched_rb,ul_sched_rb,bsr,phr,frame,slot,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_txbuf,rlc_rxbuf,rlc_retx,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes,dl_thp_kbps,ul_thp_kbps,rlc_sdu_delay_us,pdcp_vol_dl_kb,pdcp_vol_ul_kb,prb_tot_dl,prb_tot_ul
1768227395557503,20106,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,30382296,175061137,489970,10327979,0,0,0,0,988,11,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0,0,0,0
1768227395567361,20106,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,30382419,175061253,489975,10327984,0,0,0,0,993,17,68677,3776094,219162,168442541,0,0,0,64876,3569961,112164,167568144,0.00,0.00,0.00,0,0,0,0
1768227395577394,20106,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,30382419,175061277,489975,10328000,0,0,4294967295,0,999,1,68677,3776094,219162,168442541,0,0,0,64876,3569961,112164,167568144,0.00,0.00,0.00,0,0,0,0
1768227395587362,20106,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,30382788,175061550,489990,10328049,0,0,4294967282,0,1004,6,68677,3776094,219164,168442579,0,0,0,64876,3569961,112164,167568144,0.00,0.00,0.00,0,0,0,0
1768227395597662,20106,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,30383179,175061769,490006,10328088,0,0,0,0,1009,12,68679,3776163,219172,168442791,0,0,0,64879,3570135,112167,167568354,0.00,0.00,0.00,0,0,0,0
1768227395607384,20106,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,30383302,175061769,490011,10328088,0,0,0,0,1014,17,68683,3776286,219178,168442931,0,0,0,64879,3570135,112169,167568468,0.00,0.00,0.00,0,0,0,0
1768227395617358,20106,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,30383302,175061885,490011,10328093,0,0,0,0,1020,4,68683,3776286,219178,168442931,0,0,0,64879,3570135,112169,167568468,0.00,0.00,0.00,0,0,0,0
1768227395627346,20106,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,30383425,175061885,490016,10328093,0,0,0,0,1,11,68683,3776286,219178,168442931,0,0,0,64879,3570135,112169,167568468,0.00,0.00,0.00,0,0,0,0
1768227395637383,20106,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,30383548,175062001,490021,10328098,0,0,0,0,6,17,68683,3776286,219178,168442931,0,0,0,64879,3570135,112169,167568468,0.00,0.00,0.00,0,0,0,0
1768227395647365,20106,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,30383939,175062274,490037,10328164,0,0,4294967295,0,12,2,68684,3776344,219178,168442931,0,0,0,64880,3570190,112169,167568468,0.00,0.00,0.00,0,0,0,0
1768227395657443,20106,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,30384062,175062571,490042,10328218,0,0,4294967292,0,17,6,68687,3776464,219185,168443158,0,0,0,64882,3570301,112170,167568644,5003.28,208212.64,0.00,447,20653,13226,165267
1768227395667407,20106,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,30384308,175062691,490052,10328238,0,0,0,0,22,13,68689,3776533,219194,168443381,0,0,0,64883,3570364,112172,167568762,5003.28,208212.64,0.00,447,20653,13226,165267
1768227395677381,20106,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,30384308,175062691,490052,10328238,0,0,0,0,28,0,68691,3776594,219196,168443391,0,0,0,64884,3570419,112173,167568854,5003.28,208212.64,0.00,447,20653,13226,165267
1768227395687371,20106,0,51.00,53.00,0.0000,0.0000,9,0,9,0,0,0,30384431,175062807,490057,10328243,0,0,0,0,33,6,68691,3776594,219196,168443391,0,0,0,64884,3570419,112173,167568854,5003.28,208212.64,0.00,447,20653,13226,165267
