timestamp,rnti,cqi,pusch_snr,pucch_snr,dl_bler,ul_bler,dl_mcs1,dl_mcs2,ul_mcs1,ul_mcs2,dl_tbs,ul_tbs,dl_aggr_tbs,ul_aggr_tbs,dl_prb,ul_prb,dl_sched_rb,ul_sched_rb,bsr,phr,frame,slot,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_txbuf,rlc_rxbuf,rlc_retx,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes,dl_thp_kbps,ul_thp_kbps,rlc_sdu_delay_us,pdcp_vol_dl_kb,pdcp_vol_ul_kb,prb_tot_dl,prb_tot_ul,log_rsrp,log_ph
1768227014024175,20106,0,51.0,53.0,0.0,0.0,10,0,9,0,0,0,27373802,160820171,363990,9519792,0,0,0,0,200,2,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,228127.76,10458174.88,0.0,20389,1038354,292087,7930264,-44,0
1768227014033881,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27373925,160820287,363995,9519797,0,0,0,0,205,1,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,228127.76,10458174.88,0.0,20389,1038354,292087,7930264,-44,0
1768227014044052,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27373925,160820287,363995,9519797,0,0,0,0,210,0,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,265.6,9196.72,0.0,23,912,289,6990,-44,0
1768227014053934,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27374048,160820403,364000,9519802,0,0,0,0,214,17,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,265.6,9196.72,0.0,23,912,289,6990,-44,0
1768227014064087,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27374048,160820403,364000,9519802,0,0,0,0,220,2,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,265.6,9196.72,0.0,23,912,289,6990,-44,0
1768227014073831,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27374171,160820519,364005,9519807,0,0,0,0,225,1,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,265.6,9196.72,0.0,23,912,289,6990,-44,0
1768227014083814,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27374171,160820519,364005,9519807,0,0,0,0,230,3,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,265.6,9196.72,0.0,23,912,289,6990,-44,0
1768227014093854,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27374294,160820635,364010,9519812,0,0,0,0,235,0,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,265.6,9196.72,0.0,23,912,289,6990,-44,0
1768227014103817,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27374294,160820635,364010,9519812,0,0,0,0,240,3,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,265.6,9196.72,0.0,23,912,289,6990,-44,0
1768227014113903,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27374417,160820751,364015,9519817,0,0,0,0,244,16,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,265.6,9196.72,0.0,23,912,289,6990,-44,0
1768227014124118,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27374417,160820751,364015,9519817,0,0,0,0,249,11,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,265.6,9196.72,0.0,23,912,289,6990,-44,0
1768227014133841,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27374540,160820867,364020,9519822,0,0,0,0,254,10,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,265.6,9196.72,0.0,23,912,289,6990,-44,0
1768227014143870,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27374540,160820867,364020,9519822,0,0,0,0,259,14,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014153818,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27374663,160820983,364025,9519827,0,0,0,0,265,0,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014163847,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27374663,160820983,364025,9519827,0,0,0,0,270,2,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014173843,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27374786,160821099,364030,9519832,0,0,0,0,275,1,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014183863,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27374786,160821099,364030,9519832,0,0,0,0,280,4,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014193870,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27374909,160821215,364035,9519837,0,0,0,0,285,3,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014203848,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27374909,160821215,364035,9519837,0,0,0,0,290,4,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
1768227014213828,20106,0,51.0,53.0,0.0,0.0,9,0,9,0,0,0,27375032,160821331,364040,9519842,0,0,0,0,295,3,63467,3490135,203557,156709100,0,0,0,59979,3299692,104312,155904833,0.0,0.0,0.0,0,0,25,25,-44,0
