timestamp,frame,slot,rnti,log_sync,log_rsrp,est_rsrq,est_sinr_dl,pusch_snr,pucch_snr,cqi,log_ph,log_pcmax,dl_thp_kbps,ul_thp_kbps,prb_tot_dl,prb_tot_ul,dl_prb,ul_prb,dl_bler,ul_bler,log_dlsch_err,log_ulsch_err,log_harq_dl,log_harq_ul,rlc_retx,dl_mcs1,ul_mcs1,dl_tbs,ul_tbs,rlc_sdu_delay_us,rlc_txbuf,bsr,dl_mcs2,ul_mcs2,dl_aggr_tbs,ul_aggr_tbs,dl_sched_rb,ul_sched_rb,phr,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_rxbuf,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes,pdcp_vol_dl_kb,pdcp_vol_ul_kb
1768229421386595,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1768229421396548,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768229421406635,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768229421416647,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768229421426615,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768229421436650,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768229421446590,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768229421456529,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768229421466545,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768229421476595,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,0.0,0.0,0,0,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,0,0
1768229421486551,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,238049.76,10460590.88,645206,8286130,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,21280,1038630
1768229421496846,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,238049.76,10460590.88,645206,8286130,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,21280,1038630
1768229421506691,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,238049.76,10460590.88,645206,8286130,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,21280,1038630
1768229421516756,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,238049.76,10460590.88,645206,8286130,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,21280,1038630
1768229421526801,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,238049.76,10460590.88,645206,8286130,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,21280,1038630
1768229421536938,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,238049.76,10460590.88,645206,8286130,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,21280,1038630
1768229421546745,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,238049.76,10460590.88,645206,8286130,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,21280,1038630
1768229421556700,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,238049.76,10460590.88,645206,8286130,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,21280,1038630
1768229421566837,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,238049.76,10460590.88,645206,8286130,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,21280,1038630
1768229421576944,529,11,20106,in-sync,-44,-34.0,25.0,51.0,53.0,0,0,0,238049.76,10460590.88,645206,8286130,1542449,29904624,0.0,0.0,0,0,1,1,0,9,8,0,0,0.0,0,0,0,0,93603878,507586182,0,0,0,204529,11269984,630742,485574062,0,193699,10656171,323213,483067303,21280,1038630
