timestamp,frame,slot,rnti,log_sync,log_rsrp,est_rsrq,est_sinr_dl,pusch_snr,pucch_snr,cqi,log_ph,log_pcmax,dl_thp_kbps,ul_thp_kbps,prb_tot_dl,prb_tot_ul,dl_prb,ul_prb,dl_bler,ul_bler,log_dlsch_err,log_ulsch_err,log_harq_dl,log_harq_ul,rlc_retx,dl_mcs1,ul_mcs1,dl_tbs,ul_tbs,rlc_sdu_delay_us,rlc_txbuf,bsr,dl_mcs2,ul_mcs2,dl_aggr_tbs,ul_aggr_tbs,dl_sched_rb,ul_sched_rb,phr,rlc_tx_pkts,rlc_tx_bytes,rlc_rx_pkts,rlc_rx_bytes,rlc_rxbuf,pdcp_tx_pkts,pdcp_tx_bytes,pdcp_rx_pkts,pdcp_rx_bytes,pdcp_vol_dl_kb,pdcp_vol_ul_kb
1768227481735696,152,19,20106,in-sync,-44.0,-34.0,25.0,51.0,53.0,0,0.0,0.0,0.0,0.0,0,0,789762,19773369,0.0,0.0,0.0,0.0,1.0,0.0,0,9,9,0,0,0.0,0,0,0,0,56487314,334180357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1768227481745732,157,11,20106,in-sync,-44.0,-34.0,25.0,51.0,53.0,0,0.0,0.0,0.0,0.0,0,0,789767,19773379,0.0,0.0,0.0,0.0,1.0,0.0,0,9,9,0,0,0.0,0,0,0,0,56487437,334180405,0,0,0,137275,7564389,422377,325038662,0,130005,7152388,216373,323354579,0,0
1768227481755909,162,2,20106,in-sync,-44.0,-34.0,25.0,51.0,53.0,0,0.0,0.0,0.0,0.0,0,0,789767,19773379,0.0,0.0,0.0,0.0,1.0,0.0,0,9,9,0,0,0.0,0,0,0,0,56487437,334180405,0,0,0,137275,7564389,422378,325038665,0,130005,7152388,216373,323354579,0,0
1768227481765853,166,11,20106,in-sync,-44.0,-34.0,25.0,51.0,53.0,0,0.0,0.0,0.0,0.0,0,0,789782,19773405,0.0,0.0,0.0,0.0,1.0,0.0,0,9,9,0,0,0.0,0,4294967272,0,0,56487806,334180507,0,0,0,137275,7564389,422378,325038665,0,130005,7152388,216373,323354579,0,0
1768227481775945,170,3,20106,in-sync,-44.0,-34.0,25.0,51.0,53.0,0,0.0,0.0,0.0,0.0,0,0,789805,19774419,0.0,0.0,0.0,0.0,1.0,0.0,0,9,9,0,0,0.0,0,9806,0,0,56488364,334191895,0,0,0,137277,7564452,422382,325038738,0,130006,7152445,216374,323354634,0,0
1768227481785728,173,11,20106,in-sync,-44.0,-34.0,25.0,51.0,53.0,0,0.0,0.0,0.0,0.0,0,0,789884,19776421,0.0,0.0,0.0,0.0,1.0,0.0,0,10,9,123,0,0.0,0,22659,0,0,56490050,334223530,5,0,0,137284,7564858,422404,325052449,0,130015,7152940,216384,323368216,0,0
1768227481795701,176,13,20106,in-sync,-44.0,-34.0,25.0,50.5,53.0,0,0.0,0.0,0.0,0.0,0,0,789971,19778517,0.0,0.0,0.0,0.0,1.0,0.0,0,10,9,0,0,0.0,0,29030,0,0,56492055,334255384,0,0,0,137302,7565902,422442,325081503,0,130031,7153820,216403,323396773,0,0
1768227481805690,179,17,20106,in-sync,-44.0,-34.0,25.0,51.0,53.0,0,0.0,0.0,0.0,0.0,0,0,790041,19780401,0.0,0.0,0.0,0.0,1.0,0.0,0,10,9,0,2178,0.0,0,4294966066,0,0,56493568,334292887,0,0,0,137322,7567007,422483,325113724,0,130052,7154975,216426,323431342,0,0
1768227481815697,183,13,20106,in-sync,-44.0,-34.0,25.0,51.0,53.0,0,0.0,0.0,0.0,0.0,0,0,790074,19780411,0.0,0.0,0.0,0.0,1.0,0.0,0,11,9,0,0,0.0,58,4294967272,0,0,56494265,334298050,0,0,0,137337,7567822,422529,325150521,0,130065,7155690,216448,323464408,0,0
1768227481825811,188,8,20106,in-sync,-44.0,-34.0,25.0,51.0,53.0,0,0.0,0.0,0.0,0.0,0,0,790074,19780411,0.0,0.0,0.0,0.0,1.0,0.0,0,11,9,0,0,0.0,0,0,0,0,56494265,334298074,0,0,0,137342,7568057,422536,325153619,0,130068,7155855,216451,323468917,0,0
