timestamp,sample_id,ue_id,pdcp_sdu_volume_dl_kb,pdcp_sdu_volume_ul_kb,rlc_sdu_delay_dl_us,ue_throughput_dl_kbps,ue_throughput_ul_kbps,prb_total_dl,prb_total_ul,experiment_phase,latency_us
2026-01-11T23:15:55.716563,1,2,0.0,0.0,0.0,0.0,0.0,5,10,baseline,1768167987545039
2026-01-11T23:15:56.715806,2,2,0.0,0.0,0.0,0.0,0.0,5,10,baseline,1768167988544882
2026-01-11T23:15:57.716422,3,2,0.0,0.0,0.0,0.0,0.0,10,10,baseline,1768167989545261
2026-01-11T23:15:58.716121,4,2,0.0,0.0,0.0,0.0,0.0,10,10,baseline,1768167990544790
2026-01-11T23:15:59.716188,5,2,0.0,0.0,0.0,0.0,0.0,10,10,baseline,1768167991544896
2026-01-11T23:16:00.716545,6,2,0.0,0.0,0.0,0.0,0.0,5,10,baseline,1768167992545087
2026-01-11T23:16:01.717260,7,2,0.0,0.0,0.0,0.0,0.0,5,5,baseline,1768167993545462
2026-01-11T23:16:02.717274,8,2,0.0,0.0,0.0,0.0,0.0,5,5,baseline,1768167994545676
2026-01-11T23:16:03.716937,9,2,0.0,0.0,0.0,0.0,0.0,5,10,baseline,1768167995545021
2026-01-11T23:16:04.716865,10,2,0.0,0.0,0.0,0.0,0.0,5,10,baseline,1768167996545164
2026-01-11T23:16:05.715923,11,2,0.0,0.0,0.0,0.0,0.0,5,5,baseline,1768167997545046
2026-01-11T23:16:06.716228,12,2,0.0,0.0,0.0,0.0,0.0,5,10,baseline,1768167998544949
2026-01-11T23:16:07.716878,13,2,0.0,0.0,0.0,0.0,0.0,5,5,baseline,1768167999544917
2026-01-11T23:16:08.719598,14,2,0.0,0.0,0.0,0.0,0.0,10,5,baseline,1768168000544645
2026-01-11T23:16:09.718155,15,2,0.0,0.0,0.0,0.0,0.0,10,10,baseline,1768168001545545
2026-01-11T23:16:10.717911,16,2,0.0,0.0,0.0,0.0,0.0,5,5,baseline,1768168002546220
2026-01-11T23:16:11.715145,17,2,0.0,0.0,0.0,0.0,0.0,5,5,baseline,1768168003544553
2026-01-11T23:16:12.717107,18,2,0.0,0.0,0.0,0.0,0.0,10,10,baseline,1768168004545900
2026-01-11T23:16:13.716383,19,2,0.0,0.0,0.0,0.0,0.0,5,5,baseline,1768168005545525
2026-01-11T23:16:14.717758,20,2,0.0,0.0,0.0,0.0,0.0,5,10,baseline,1768168006545889
2026-01-11T23:16:15.716865,21,2,0.0,0.0,0.0,0.0,0.0,10,10,baseline,1768168007545352
2026-01-11T23:16:16.715827,22,2,0.0,0.0,0.0,0.0,0.0,10,10,baseline,1768168008545161
2026-01-11T23:16:17.717180,23,2,0.0,0.0,0.0,0.0,0.0,10,10,baseline,1768168009544845
2026-01-11T23:16:18.716306,24,2,0.0,0.0,0.0,0.0,0.0,5,10,baseline,1768168010545262
2026-01-11T23:16:19.715575,25,2,0.0,0.0,0.0,0.0,0.0,5,10,baseline,1768168011544534
2026-01-11T23:16:20.717795,26,2,0.0,0.0,0.0,0.0,0.0,5,5,baseline,1768168012545676
2026-01-11T23:16:21.718989,27,2,0.0,0.0,0.0,0.0,0.0,10,5,baseline,1768168013545840
